institution,publisher,collection,years,lengthofagreement,packageprice,carnegiebasicclassification,fte,source,url,notes,value,gbpvalue,usdvalue,createdAt,created_date,_id
Western University,American Mathematical Society (AMS),MathSciNet and Consortium Database Fees,2017,1 year,"$9,756 ",N/A,30200,Western Libraries,https://www.frdr.ca/repo/handle/doi:10.20383/101.033,Canadian dollars,9756,5560,7317,1.61237E+12,2021-02-03 1718.00,YbNekkHouHkSbS6ZD
Western University,Canadian Science Publishing,NRC Research Press Journals,2017,1 year,"$14,862 ",N/A,30200,Western Libraries,https://www.frdr.ca/repo/handle/doi:10.20383/101.033,Canadian dollars,14862,8471,11146,1.61237E+12,2021-02-03 1718.00,iSmn86k4eFkjBxsHF
Western University,Oxford University Press (OUP),Oxford Journals Online,2017,1 year,"$96,268 ",N/A,30200,Western Libraries,https://www.frdr.ca/repo/handle/doi:10.20383/101.033,Canadian dollars,96268,54872,72201,1.61237E+12,2021-02-03 1718.00,vYRTfmgjaf5FpHfGo
Western University,Taylor & Francis,Taylor & Francis Online Journals,2017,1 year,"$39,112 ",N/A,30200,Western Libraries,https://www.frdr.ca/repo/handle/doi:10.20383/101.033,Canadian dollars,39112,22293,29334,1.61237E+12,2021-02-03 1718.00,NHiJ4kyF7PTQZbpDv
Western University,Elsevier,ScienceDirect,2018,1 year,"$287,720 ",N/A,30200,Western Libraries,https://www.lib.uwo.ca/collections/license_costs.html,Canadian dollars,287720,164000,215790,1.61237E+12,2021-02-03 1718.00,suayjjouSNfqYtMty
Western University,American Institute of Physics Publishing (AIPP),Unclassified,2018,1 year,"$63,246 ",N/A,30200,Western Libraries,https://www.lib.uwo.ca/collections/license_costs.html,Canadian dollars,63246,36050,47434,1.61237E+12,2021-02-03 1718.00,6bNtZsb7Z73hb5Hrx
Western University,Springer Nature,SpringerLink,2019,1 year,"$569,092 ",N/A,30200,Western Libraries,https://www.lib.uwo.ca/collections/license_costs.html,Canadian dollars,569092,324382,426819,1.61237E+12,2021-02-03 1718.00,AGHndFRtzcvj6swas
Western University,Sage,Unclassified,2019,1 year,"$293,789 ",N/A,30200,Western Libraries,https://www.lib.uwo.ca/collections/license_costs.html,Canadian dollars,293789,167459,220341,1.61237E+12,2021-02-03 1718.00,WZFBSzz9appC9ojNj
Western University,Cambridge University Press (CUP),Unclassified,2019,1 year,"$97,576 ",N/A,30200,Western Libraries,https://www.lib.uwo.ca/collections/license_costs.html,Canadian dollars,97576,55618,73182,1.61237E+12,2021-02-03 1718.00,mAB6zPHvoLtQFg4tJ
York University,CAIRN,CAIRN Bouquet Général e-journals,2017,1 year,"$10,939 ",N/A,52050,CARL Expenditure Data,https://www.frdr.ca/repo/handle/doi:10.20383/101.033,Canadian dollars,10939,6235,8204,1.61237E+12,2021-02-03 1718.00,d9NiTCvbSdAXyyoZE
York University,Canadian Science Publishing,NRC Research Press Journals,2017,1 year,"$14,862 ",N/A,52050,CARL Expenditure Data,https://www.frdr.ca/repo/handle/doi:10.20383/101.033,Canadian dollars,14862,8471,11146,1.61237E+12,2021-02-03 1718.00,KdQnH8PGokM4hL8N5
Cornell University,Elsevier,Unclassified,2015,1 year,"$2,721,383 ",R1 (Doctoral Universities – Highest Research Activity),45124,Cornell University Library,https://ecommons.cornell.edu/handle/1813/64627,,2721383,2095464,2721383,1.61237E+12,2021-02-03 1718.00,MiM7poZrjiSkcgxhA
Cornell University,Springer Nature,Unclassified,2015,1 year,"$406,466 ",R1 (Doctoral Universities – Highest Research Activity),45124,Cornell University Library,https://ecommons.cornell.edu/handle/1813/64627,,406466,312978,406466,1.61237E+12,2021-02-03 1718.00,FhQGtFmQnjjNhjff5
Cornell University,American Chemical Society (ACS),Unclassified,2015,1 year,"$127,208 ",R1 (Doctoral Universities – Highest Research Activity),45124,Cornell University Library,https://ecommons.cornell.edu/handle/1813/64627,,127208,97950,127208,1.61237E+12,2021-02-03 1718.00,ptAbLQ47rmh8SFz2p
Cornell University,Elsevier,Unclassified,2017,1 year,"$3,308,057 ",R1 (Doctoral Universities – Highest Research Activity),45124,Cornell University Library,https://ecommons.cornell.edu/handle/1813/64627,,3308057,2547203,3308057,1.61237E+12,2021-02-03 1718.00,KeEeKhYwdMbDqBhn6
Cornell University,Lippincott Williams & Wilkins/Wolters Kluwer,Unclassified,2018,1 year,"$82,650 ",R1 (Doctoral Universities – Highest Research Activity),45124,Cornell University Library,https://ecommons.cornell.edu/handle/1813/64627,,82650,63640,82650,1.61237E+12,2021-02-03 1718.00,tEvQHs7yCKm7SkndP
Alabama A&M University,Elsevier,Unclassified,2009,1 year,"$292,883 ",M1 (Master's Colleges and Universities – Larger programs),6448,Freedom of Information Request,,,292883,225519,292883,1.61237E+12,2021-02-03 1718.00,LJwBEtywxRfDsMkCS
Alabama State University,Elsevier,Unclassified,2012,1 year,"$126,692 ",M2 (Master's Colleges and Universities – Medium programs),5296,Freedom of Information Request,,,126692,97552,126692,1.61237E+12,2021-02-03 1718.00,xs5niCG2wvvCTnMGt
Antioch University MIdwest,Oxford University Press (OUP),Unclassified,2014,1 year,"$2,446 ",Special Focus Four-Year (Other Special Focus Institutions),,Freedom of Information Request,,,2446,1883,2446,1.61237E+12,2021-02-03 1718.00,SW22Yu2MKTDGpKKTH
Ashland University,American Chemical Society (ACS),Unclassified,2014,1 year,"$1,707 ",D/PU (Doctoral/Professional Universities),37724,Freedom of Information Request,,,1707,1314,1707,1.61237E+12,2021-02-03 1718.00,hDy449pbHNCtB7hAf
Baldwin Wallace University,Wiley,Unclassified,2014,1 year,"$16,977 ",M1 (Master's Colleges and Universities – Larger programs),4284,Freedom of Information Request,,,16977,13072,16977,1.61237E+12,2021-02-03 1718.00,grdRMv25wYp6fTEpa
Barry University,Sage,Unclassified,2014,1 year,"$138,013 ",D/PU (Doctoral/Professional Universities),7064,Freedom of Information Request,,,138013,106270,138013,1.61237E+12,2021-02-03 1718.00,vpEdTS8A645WKGErA
Barry University,Taylor & Francis,Unclassified,2014,1 year,"$46,742 ",D/PU (Doctoral/Professional Universities),7064,Freedom of Information Request,,,46742,35991,46742,1.61237E+12,2021-02-03 1718.00,9KF3253Qkiqxpb63A
Boston University,Springer Nature,Unclassified,2014,1 year,"$354,645 ",R1 (Doctoral Universities – Highest Research Activity),38652,Freedom of Information Request,,,354645,273076,354645,1.61237E+12,2021-02-03 1718.00,tKD8yJ7DEyPGjibph
Bowling Green State University,Springer Nature,Unclassified,2014,1 year,"$166,469 ",R2 (Doctoral Universities – High research activity),17670,Freedom of Information Request,,,166469,128181,166469,1.61237E+12,2021-02-03 1718.00,5miXi4Whz4iBK6yor
Brandeis University,Emerald,Unclassified,2014,1 year,"$30,671 ",R1 (Doctoral Universities – Highest Research Activity),7011,Freedom of Information Request,,,30671,23616,30671,1.61237E+12,2021-02-03 1718.00,rfsKBjBmCnTkC7wSL
Brandeis University,Oxford University Press (OUP),Unclassified,2014,1 year,"$59,596 ",R1 (Doctoral Universities – Highest Research Activity),7011,Freedom of Information Request,,,59596,45888,59596,1.61237E+12,2021-02-03 1718.00,iz67XWNuMvK7yhtK2
Brown University,American Chemical Society (ACS),Unclassified,2014,1 year,"$89,178 ",R1 (Doctoral Universities – Highest Research Activity),13891,Freedom of Information Request,,,89178,68667,89178,1.61237E+12,2021-02-03 1718.00,6nwmJ3oQzus8ksyQh
Brown University,Sage,Unclassified,2014,1 year,"$156,483 ",R1 (Doctoral Universities – Highest Research Activity),13891,Freedom of Information Request,,,156483,120491,156483,1.61237E+12,2021-02-03 1718.00,4owD9zzWppoFFijA8
California Digital Library,Elsevier,Unclassified,2014,1 year,"$9,505,109 ",N/A,,Freedom of Information Request,,,9505109,7318933,9505109,1.61237E+12,2021-02-03 1718.00,xbe5otPjL9sF5wXTf
California Digital Library,Elsevier,Unclassified,2018,1 year,"$10,568,757 ",N/A,,Freedom of Information Request,,,10568757,8137942,10568757,1.61237E+12,2021-02-03 1718.00,SC35SeXJNJL3RNs5n
California State Polytechnic University-Pomona,American Chemical Society (ACS),Unclassified,2014,1 year,"$32,449 ",M1 (Master's Colleges and Universities – Larger programs),25730,Freedom of Information Request,,,32449,24985,32449,1.61237E+12,2021-02-03 1718.00,ndwF4fK2Jk4QCLbf6
California State Polytechnic University-Pomona,Sage,Unclassified,2014,1 year,"$40,205 ",M1 (Master's Colleges and Universities – Larger programs),25730,Freedom of Information Request,,,40205,30957,40205,1.61237E+12,2021-02-03 1718.00,Pwvi5NTCsM38sgdwC
California State University Chico,American Chemical Society (ACS),Unclassified,2014,1 year,"$29,264 ",M1 (Master's Colleges and Universities – Larger programs),18529,Freedom of Information Request,,,29264,22533,29264,1.61237E+12,2021-02-03 1718.00,YKobR4bwTgGMcH8uP
California State University Chico,Sage,Unclassified,2014,1 year,"$30,019 ",M1 (Master's Colleges and Universities – Larger programs),18529,Freedom of Information Request,,,30019,23114,30019,1.61237E+12,2021-02-03 1718.00,MiBFKx7GCaiWoWMZo
California State University East Bay,Sage,Unclassified,2014,1 year,"$44,248 ",M1 (Master's Colleges and Universities – Larger programs),15901,Freedom of Information Request,,,44248,34070,44248,1.61237E+12,2021-02-03 1718.00,JypvLfHiLiMiPBtAS
California State University Fresno,Springer Nature,Unclassified,2014,1 year,"$85,224 ",D/PU (Doctoral/Professional Universities),25117,Freedom of Information Request,,,85224,65622,85224,1.61237E+12,2021-02-03 1718.00,kmM4FBJdeoHy4Dgb4
California State University Long Beach,American Chemical Society (ACS),Unclassified,2014,1 year,"$32,449 ",M1 (Master's Colleges and Universities – Larger programs),36651,Freedom of Information Request,,,32449,24985,32449,1.61237E+12,2021-02-03 1718.00,b3peLchXQT8J5tR6t
California State University Long Beach,Emerald,Unclassified,2014,1 year,"$1,508 ",M1 (Master's Colleges and Universities – Larger programs),36651,Freedom of Information Request,,,1508,1161,1508,1.61237E+12,2021-02-03 1718.00,Wh774r9NmYA6vidgb
California State University Los Angeles,Springer Nature,Unclassified,2014,1 year,"$11,500 ",M1 (Master's Colleges and Universities – Larger programs),27480,Freedom of Information Request,,,11500,8855,11500,1.61237E+12,2021-02-03 1718.00,WnhHWTXNQQfNT2nbG
California State University Sacramento,American Chemical Society (ACS),Unclassified,2014,1 year,"$26,995 ",M1 (Master's Colleges and Universities – Larger programs),29957,Freedom of Information Request,,,26995,20786,26995,1.61237E+12,2021-02-03 1718.00,8L6H39kt4fPAXY5ba
California State University Sacramento,Emerald,Unclassified,2014,1 year,"$4,877 ",M1 (Master's Colleges and Universities – Larger programs),29957,Freedom of Information Request,,,4877,3755,4877,1.61237E+12,2021-02-03 1718.00,uHvRKEQLvbPrQzHb2
California State University San Bernadino,Springer Nature,Unclassified,2014,1 year,"$27,615 ",M1 (Master's Colleges and Universities – Larger programs),20386,Freedom of Information Request,,,27615,21263,27615,1.61237E+12,2021-02-03 1718.00,2dK5eiSQdZ4oCYtRZ
California State University San Marcos,Emerald,Unclassified,2014,1 year,"$3,584 ",M2 (Master's Colleges and Universities – Medium programs),15040,Freedom of Information Request,,,3584,2759,3584,1.61237E+12,2021-02-03 1718.00,3GeXF9GXmcbrnuLoN
California State University San Marcos,Sage,Unclassified,2014,1 year,"$45,858 ",M2 (Master's Colleges and Universities – Medium programs),15040,Freedom of Information Request,,,45858,35310,45858,1.61237E+12,2021-02-03 1718.00,gBfo9b9hme7rMkJjf
California State University San Marcos,Springer Nature,Unclassified,2014,1 year,"$13,274 ",M2 (Master's Colleges and Universities – Medium programs),15040,Freedom of Information Request,,,13274,10220,13274,1.61237E+12,2021-02-03 1718.00,cbAx4L5tHghXh8STL
California State University Stanislaus,Oxford University Press (OUP),Unclassified,2014,1 year,"$4,167 ",M1 (Master's Colleges and Universities – Larger programs),10153,Freedom of Information Request,,,4167,3208,4167,1.61237E+12,2021-02-03 1718.00,a5428H3D9zHo7aWdi
Case Western Reserve University,Cambridge University Press (CUP),Unclassified,2014,1 year,"$31,790 ",R1 (Doctoral Universities – Highest Research Activity),15455,Freedom of Information Request,,,31790,24478,31790,1.61237E+12,2021-02-03 1718.00,gD8xSQpdvqfYbH89Q
Case Western Reserve University,Oxford University Press (OUP),Unclassified,2014,1 year,"$39,583 ",R1 (Doctoral Universities – Highest Research Activity),15455,Freedom of Information Request,,,39583,30478,39583,1.61237E+12,2021-02-03 1718.00,RNsc3hx88aPhePXw3
Case Western Reserve University,Sage,Unclassified,2014,1 year,"$79,157 ",R1 (Doctoral Universities – Highest Research Activity),15455,Freedom of Information Request,,,79157,60950,79157,1.61237E+12,2021-02-03 1718.00,wLYPewhEBirnYAFv3
Cleveland State University,Wiley,Unclassified,2014,1 year,"$104,727 ",R2 (Doctoral Universities – High research activity),15104,Freedom of Information Request,,,104727,80639,104727,1.61237E+12,2021-02-03 1718.00,dFoKcNPvxPKn7ThHd
Colorado College,Elsevier,Unclassified,2013,1 year,"$149,934 ",Baccalaureate Colleges (Arts & Sciences Focus),2944,Freedom of Information Request,,,149934,115449,149934,1.61237E+12,2021-02-03 1718.00,h66CTTxqYugqYoMca
Colorado School of Mines,Elsevier,ScienceDirect - Freedom Collection,2008,1 year,"$203,946 ",R2 (Doctoral Universities – High research activity),6947,Freedom of Information Request,,,203946,157038,203946,1.61237E+12,2021-02-03 1718.00,WAAPSXAK2gkjMzh33
Colorado School of Mines,Elsevier,ScienceDirect - Freedom Collection,2010,1 year,"$224,850 ",R2 (Doctoral Universities – High research activity),6947,Freedom of Information Request,,,224850,173134,224850,1.61237E+12,2021-02-03 1718.00,syCFQDg6m6iRzKKTN
Colorado State University,Elsevier,Unclassified,2014,1 year,"$1,524,820 ",R1 (Doctoral Universities – Highest Research Activity),35072,Freedom of Information Request,,,1524820,1174111,1524820,1.61237E+12,2021-02-03 1718.00,yfXj8eKyjcnhYtx5B
Columbia University,American Chemical Society (ACS),Unclassified,2014,1 year,"$119,106 ",R1 (Doctoral Universities – Highest Research Activity),45124,Freedom of Information Request,,,119106,91711,119106,1.61237E+12,2021-02-03 1718.00,akCFfmb7G5CcL5PrY
Columbia University,Emerald,Unclassified,2014,1 year,"$71,694 ",R1 (Doctoral Universities – Highest Research Activity),45124,Freedom of Information Request,,,71694,55204,71694,1.61237E+12,2021-02-03 1718.00,N7SHJ6iYFkLih9ZNB
Cornell University,Cambridge University Press (CUP),Unclassified,2014,1 year,"$109,393 ",R1 (Doctoral Universities – Highest Research Activity),33185,Freedom of Information Request,,,109393,84232,109393,1.61237E+12,2021-02-03 1718.00,59bdRWE2ziKwpokpp
Dartmouth College,Elsevier,ScienceDirect - Freedom Collection,2014,1 year,"$1,539,647 ",R2 (Doctoral Universities – High research activity),10324,Freedom of Information Request,,,1539647,1185528,1539647,1.61237E+12,2021-02-03 1718.00,y8RyC6LgXREYfx8Kb
Dartmouth College,Wiley,Unclassified,2014,1 year,"$784,878 ",R2 (Doctoral Universities – High research activity),10324,Freedom of Information Request,,,784878,604356,784878,1.61237E+12,2021-02-03 1718.00,owbSfxaaERWGkqeec
Eastern Oregon University,Cambridge University Press (CUP),Unclassified,2014,1 year,"$5,529 ",M3 (Master's Colleges and Universities – Smaller programs),2617,Freedom of Information Request,,,5529,4257,5529,1.61237E+12,2021-02-03 1718.00,7TeWXtWypPTBTm3YE
Emory University,Emerald,Unclassified,2014,1 year,"$63,442 ",R1 (Doctoral Universities – Highest Research Activity),24553,Freedom of Information Request,,,63442,48850,63442,1.61237E+12,2021-02-03 1718.00,L7F4ieBxvk7HkjuFP
Emory University,Springer Nature,Unclassified,2014,1 year,"$715,230 ",R1 (Doctoral Universities – Highest Research Activity),24553,Freedom of Information Request,,,715230,550727,715230,1.61237E+12,2021-02-03 1718.00,A5Pgn2BAEWdqx5wgy
Florida A&M University,Elsevier,ScienceDirect - Freedom Collection,2016,1 year,"$407,841 ",R2 (Doctoral Universities – High research activity),10790,Freedom of Information Request,,,407841,314037,407841,1.61237E+12,2021-02-03 1718.00,MmMFTfwxC3PMSYkNw
Florida Atlantic University,Wiley,Unclassified,2014,1 year,"$293,233 ",R2 (Doctoral Universities – High research activity),26237,Freedom of Information Request,,,293233,225789,293233,1.61237E+12,2021-02-03 1718.00,8A33NnrsRBLEFpyw8
Florida Atlantic University,Elsevier,ScienceDirect - Freedom Collection,2016,1 year,"$286,388 ",R2 (Doctoral Universities – High research activity),26237,Freedom of Information Request,,,286388,220518,286388,1.61237E+12,2021-02-03 1718.00,HtDBk5C4rNanDiYFE
Florida Gulf Coast University,Springer Nature,Unclassified,2014,1 year,"$27,435 ",M1 (Master's Colleges and Universities – Larger programs),14283,Freedom of Information Request,,,27435,21124,27435,1.61237E+12,2021-02-03 1718.00,hFEmLxnsyMest6ugZ
Florida Institute of Technology,Taylor & Francis,Unclassified,2014,1 year,"$16,362 ",R2 (Doctoral Universities – High research activity),6441,Freedom of Information Request,,,16362,12598,16362,1.61237E+12,2021-02-03 1718.00,Yxjv6HrbnMvPtZaTH
Florida International University,Cambridge University Press (CUP),Unclassified,2014,1 year,"$41,784 ",R1 (Doctoral Universities – Highest Research Activity),47985,Freedom of Information Request,,,41784,32173,41784,1.61237E+12,2021-02-03 1718.00,wnR8yTG5CQiZZrHzX
Florida State University,Emerald,Unclassified,2014,1 year,"$38,945 ",R1 (Doctoral Universities – Highest Research Activity),44119,Freedom of Information Request,,,38945,29987,38945,1.61237E+12,2021-02-03 1718.00,jBfRnc3CgXq3whxZF
Franciscan University of Steubenville,Cambridge University Press (CUP),Unclassified,2014,1 year,"$2,906 ",M2 (Master's Colleges and Universities – Medium programs),2817,Freedom of Information Request,,,2906,2237,2906,1.61237E+12,2021-02-03 1718.00,7M48MaevuoEBhgtgA
Georgetown University,Oxford University Press (OUP),Unclassified,2014,1 year,"$103,168 ",R1 (Doctoral Universities – Highest Research Activity),21761,Freedom of Information Request,,,103168,79439,103168,1.61237E+12,2021-02-03 1718.00,8je5RuexC4XuLjzSz
Georgetown University,Springer Nature,Unclassified,2014,1 year,"$458,725 ",R1 (Doctoral Universities – Highest Research Activity),21761,Freedom of Information Request,,,458725,353218,458725,1.61237E+12,2021-02-03 1718.00,yxodJfWY24WEXhJcL
Georgia Institute of Technology,Cambridge University Press (CUP),Unclassified,2014,1 year,"$39,170 ",R1 (Doctoral Universities – Highest Research Activity),31117,Freedom of Information Request,,,39170,30160,39170,1.61237E+12,2021-02-03 1718.00,FhR2PgXthivXoZ5ad
Georgia State University,Elsevier,ScienceDirect - Freedom Collection,2012,1 year,"$1,068,776 ",R1 (Doctoral Universities – Highest Research Activity),33269,Freedom of Information Request,,,1068776,822957,1068776,1.61237E+12,2021-02-03 1718.00,SevAiEppAZz4YeSWe
Georgia State University,Elsevier,ScienceDirect - Freedom Collection,2013,1 year,"$1,127,558 ",R1 (Doctoral Universities – Highest Research Activity),33269,Freedom of Information Request,,,1127558,868219,1127558,1.61237E+12,2021-02-03 1718.00,K9z3KwfcMLTKYK7rn
Harvard University,American Chemical Society (ACS),Unclassified,2014,1 year,"$140,943 ",R1 (Doctoral Universities – Highest Research Activity),42166,Freedom of Information Request,,,140943,108526,140943,1.61237E+12,2021-02-03 1718.00,zw7Rcdv7H5sMjNg58
Harvard University,Springer Nature,Unclassified,2014,1 year,"$872,630 ",R1 (Doctoral Universities – Highest Research Activity),42166,Freedom of Information Request,,,872630,671925,872630,1.61237E+12,2021-02-03 1718.00,BkQQEHSvqJHPqGkwi
Harvard University,Wiley,Unclassified,2014,1 year,"$1,117,718 ",R1 (Doctoral Universities – Highest Research Activity),42166,Freedom of Information Request,,,1117718,860642,1117718,1.61237E+12,2021-02-03 1718.00,s9BSW7Y8DyPJJHAwv
Humboldt State University ,Springer Nature,Unclassified,2014,1 year,"$34,857 ",M2 (Master's Colleges and Universities – Medium programs),9060,Freedom of Information Request,,,34857,26839,34857,1.61237E+12,2021-02-03 1718.00,FdKGpaHMstWNA6Mm6
Indiana University-Purdue University-Fort Wayne,Wiley,Unclassified,2014,1 year,"$66,401 ",M1 (Master's Colleges and Universities – Larger programs),8897,Freedom of Information Request,,,66401,51128,66401,1.61237E+12,2021-02-03 1718.00,o8yFecNE7qyhujDXp
Iowa State University,Elsevier,ScienceDirect - Freedom Collection,2008,1 year,"$1,590,593 ",R1 (Doctoral Universities – Highest Research Activity),39989,Freedom of Information Request,,,1590593,1224756,1590593,1.61237E+12,2021-02-03 1718.00,6N52R9PPzfyZ9M2XB
Iowa State University,Elsevier,ScienceDirect - Freedom Collection,2015,1 year,"$2,233,596 ",R1 (Doctoral Universities – Highest Research Activity),39989,Freedom of Information Request,,,2233596,1719868,2233596,1.61237E+12,2021-02-03 1718.00,zYjqdP9yjz46g4deE
Jacksonville State University,Elsevier,Unclassified,2012,1 year,"$36,823 ",M1 (Master's Colleges and Universities – Larger programs),7834,Freedom of Information Request,,,36823,28353,36823,1.61237E+12,2021-02-03 1718.00,MJwpRZSf4GWZDCbEh
Jacksonville State University,Elsevier,Unclassified,2014,1 year,"$46,397 ",M1 (Master's Colleges and Universities – Larger programs),7834,Freedom of Information Request,,,46397,35725,46397,1.61237E+12,2021-02-03 1718.00,FzoQ4zrAjkb7DbzJR
Johns Hopkins University,Sage,Unclassified,2014,1 year,"$218,146 ",R1 (Doctoral Universities – Highest Research Activity),36270,Freedom of Information Request,,,218146,167972,218146,1.61237E+12,2021-02-03 1718.00,iGbLWcFzhq3TPw5bc
Kent State University,Sage,Unclassified,2014,1 year,"$75,990 ",R2 (Doctoral Universities – High research activity),28519,Freedom of Information Request,,,75990,58512,75990,1.61237E+12,2021-02-03 1718.00,Gp2nskfTn2rwQ7FEn
Louisiana State University,Elsevier,ScienceDirect - Freedom Collection,2012,1 year,"$1,362,392 ",M2 (Master's Colleges and Universities – Medium programs),34189,Freedom of Information Request,,,1362392,1049041,1362392,1.61237E+12,2021-02-03 1718.00,nLBhpvash6KASWC7i
Louisiana State University,Elsevier,ScienceDirect - Freedom Collection,2013,1 year,"$1,430,512 ",M2 (Master's Colleges and Universities – Medium programs),34189,Freedom of Information Request,,,1430512,1101494,1430512,1.61237E+12,2021-02-03 1718.00,jPCaCiYYk9z3yQS5T
Malone University,Cambridge University Press (CUP),Unclassified,2014,1 year,"$2,090 ",M2 (Master's Colleges and Universities – Medium programs),1686,Freedom of Information Request,,,2090,1609,2090,1.61237E+12,2021-02-03 1718.00,qnDnZRX4k68F2yQ2Q
Malone University,Elsevier,Unclassified,2014,1 year,"$13,354 ",M2 (Master's Colleges and Universities – Medium programs),1686,Freedom of Information Request,,,13354,10282,13354,1.61237E+12,2021-02-03 1718.00,5Bqzov9HrFEAqHSaJ
Malone University,Oxford University Press (OUP),Unclassified,2014,1 year,$920 ,M2 (Master's Colleges and Universities – Medium programs),1686,Freedom of Information Request,,,920,708,920,1.61237E+12,2021-02-03 1718.00,veNBf7qoEBJZbWsdt
Mercy College,Cambridge University Press (CUP),Unclassified,2014,1 year,"$4,843 ",M1 (Master's Colleges and Universities – Larger programs),8416,Freedom of Information Request,,,4843,3729,4843,1.61237E+12,2021-02-03 1718.00,R3i9FR6kvy9qrkDCT
Mercy College,Elsevier,Unclassified,2014,1 year,"$9,674 ",M1 (Master's Colleges and Universities – Larger programs),8416,Freedom of Information Request,,,9674,7448,9674,1.61237E+12,2021-02-03 1718.00,cjvqgsQhwJamPDFDM
Michigan State University,Wiley,Unclassified,2014,1 year,"$818,888 ",R1 (Doctoral Universities – Highest Research Activity),58076,Freedom of Information Request,,,818888,630543,818888,1.61237E+12,2021-02-03 1718.00,Z5S3BnCbNyTSxrpWb
Muskingum University,Springer Nature,Unclassified,2014,1 year,"$2,231 ",M2 (Master's Colleges and Universities – Medium programs),2197,Freedom of Information Request,,,2231,1717,2231,1.61237E+12,2021-02-03 1718.00,TujNcqaDKY8rBttmb
New York University,Oxford University Press (OUP),Unclassified,2014,1 year,"$140,872 ",R1 (Doctoral Universities – Highest Research Activity),65314,Freedom of Information Request,,,140872,108471,140872,1.61237E+12,2021-02-03 1718.00,apaTp6P8jecBiNDdJ
Ohio State University,Sage,Unclassified,2014,1 year,"$102,049 ",R1 (Doctoral Universities – Highest Research Activity),85372,Freedom of Information Request,,,102049,78577,102049,1.61237E+12,2021-02-03 1718.00,kcTjknpkA2hGpHddq
Ohio State University,Springer Nature,Unclassified,2014,1 year,"$779,794 ",R1 (Doctoral Universities – Highest Research Activity),85372,Freedom of Information Request,,,779794,600441,779794,1.61237E+12,2021-02-03 1718.00,TsmtfizdLTaK74Xcv
Oregon State University,Elsevier,ScienceDirect - Complete Collection,2011,1 year,"$1,125,037 ",R1 (Doctoral Universities – Highest Research Activity),31323,Freedom of Information Request,,,1125037,866278,1125037,1.61237E+12,2021-02-03 1718.00,4Fq2a5LB4Dbv56gZf
Oregon State University,Elsevier,ScienceDirect - Complete Collection,2013,1 year,"$880,902 ",R1 (Doctoral Universities – Highest Research Activity),31323,Freedom of Information Request,,,880902,678294,880902,1.61237E+12,2021-02-03 1718.00,TFcs4ZhXBGitur5Qf
Oregon State University,Springer Nature,Unclassified,2014,1 year,"$248,404 ",R1 (Doctoral Universities – Highest Research Activity),31323,Freedom of Information Request,,,248404,191271,248404,1.61237E+12,2021-02-03 1718.00,WEu5fmQ5RE5Cj3s5F
Palm Beach Atlantic University,Taylor & Francis,Unclassified,2014,1 year,"$6,928 ",M1 (Master's Colleges and Universities – Larger programs),3786,Freedom of Information Request,,,6928,5334,6928,1.61237E+12,2021-02-03 1718.00,yFhWc2YWz7xxviHgq
Princeton University,Sage,Unclassified,2014,1 year,"$199,654 ",R1 (Doctoral Universities – Highest Research Activity),14286,Freedom of Information Request,,,199654,153733,199654,1.61237E+12,2021-02-03 1718.00,pFeB8EbHvbQATg28F
Princeton University,Springer Nature,Unclassified,2014,1 year,"$617,974 ",R1 (Doctoral Universities – Highest Research Activity),14286,Freedom of Information Request,,,617974,475839,617974,1.61237E+12,2021-02-03 1718.00,T5RvK3cnMQvdoni25
Princeton University,Wiley,Unclassified,2014,1 year,"$834,689 ",R1 (Doctoral Universities – Highest Research Activity),14286,Freedom of Information Request,,,834689,642710,834689,1.61237E+12,2021-02-03 1718.00,pnZ8qRW6NsJe7LqCt
Providence College,Sage,Unclassified,2014,1 year,"$73,053 ",M1 (Master's Colleges and Universities – Larger programs),5209,Freedom of Information Request,,,73053,56250,73053,1.61237E+12,2021-02-03 1718.00,LRFd3EZ42xrvJDj4y
Purdue University,Elsevier,ScienceDirect - Complete Collection,2009,1 year,"$1,706,023 ",R1 (Doctoral Universities – Highest Research Activity),49449,Freedom of Information Request,,,1706023,1313637,1706023,1.61237E+12,2021-02-03 1718.00,Qzc6y4G6cKJBG8cxk
Purdue University,Elsevier,ScienceDirect - Complete Collection,2013,1 year,"$2,410,929 ",R1 (Doctoral Universities – Highest Research Activity),49449,Freedom of Information Request,,,2410929,1856415,2410929,1.61237E+12,2021-02-03 1718.00,Jotyce2Ge2Dp53apn
Regis University,Elsevier,Unclassified,2013,1 year,"$27,413 ",M1 (Master's Colleges and Universities – Larger programs),7444,Freedom of Information Request,,,27413,21108,27413,1.61237E+12,2021-02-03 1718.00,DSd4MDCXeu94ESMM3
Rollins College,Springer Nature,Unclassified,2014,1 year,"$17,168 ",M1 (Master's Colleges and Universities – Larger programs),3750,Freedom of Information Request,,,17168,13219,17168,1.61237E+12,2021-02-03 1718.00,eHX9QdDg736z8uap7
Saint Martin's University,Springer Nature,Unclassified,2014,1 year,"$2,000 ",M2 (Master's Colleges and Universities – Medium programs),1633,Freedom of Information Request,,,2000,1540,2000,1.61237E+12,2021-02-03 1718.00,EHaDBdbrrhCKxTPXc
San Diego State University,American Chemical Society (ACS),Unclassified,2014,1 year,"$42,140 ",R2 (Doctoral Universities – High research activity),34888,Freedom of Information Request,,,42140,32447,42140,1.61237E+12,2021-02-03 1718.00,hKEnsomYuzQ3fixH5
